timestamp,label,temp1,hum1,pres1,gas1_0,temp2,hum2,pres2,gas2_0,delta_temp,delta_hum,delta_pres,delta_gas,pred_class,pred_conf,anomaly_score,iaq

43113,decaf nutmeg and vanilla,21.1,55.37,976.21,1224148,20.74,55.07,975.14,2192720,0.35,0.3,1.08,-486116,0,0,0,9
47409,decaf nutmeg and vanilla,22.27,55.83,976.29,1196262,21.55,54.53,975.13,2147876,0.72,1.3,1.17,-477692,0,0,0,9
51716,decaf nutmeg and vanilla,22.91,56.87,976.32,1170620,22.15,54.83,975.19,2122830,0.76,2.04,1.13,-952210,0,0,0,9
55962,decaf nutmeg and vanilla,22.99,54.2,976.37,1174649,22.44,53.17,975.28,2108080,0.55,1.03,1.1,-468696,0,0,0,9
60218,decaf nutmeg and vanilla,24.2,59.91,976.51,1065557,23.23,58.43,975.31,2052618,0.97,1.48,1.2,-495838,0,0,0,9
64465,decaf nutmeg and vanilla,24.08,70.39,976.45,1018652,23.58,67.09,975.24,2037304,0.49,3.3,1.2,-512025,0,0,0,8
68772,decaf nutmeg and vanilla,24.4,63.4,976.35,1060590,23.73,59.48,975.21,2034269,0.67,3.92,1.14,-489449,0,0,0,9
73069,decaf nutmeg and vanilla,25.33,59.79,976.37,1049987,24.46,54.45,975.22,1988350,0.87,5.34,1.15,-471741,0,0,0,9
77325,decaf nutmeg and vanilla,25.43,53.62,976.42,1068894,24.75,50.54,975.27,1982575,0.68,3.08,1.14,-913682,0,0,0,9
81571,decaf nutmeg and vanilla,25.61,50.01,976.42,1066389,24.99,48.19,975.32,1961216,0.62,1.82,1.1,-894827,0,0,0,9
85880,decaf nutmeg and vanilla,26.54,51.07,976.56,1042770,25.61,48.76,975.37,1919850,0.93,2.32,1.19,-440788,0,0,0,9
90126,decaf nutmeg and vanilla,26.9,50.74,976.6,1045165,25.96,48.35,975.39,1917154,0.95,2.38,1.22,-438164,0,0,0,9
94432,decaf nutmeg and vanilla,27.72,50.6,976.53,1026309,26.48,46.19,974.96,1884085,1.24,4.41,1.57,-430980,0,0,0,9
98679,decaf nutmeg and vanilla,27.9,50.11,976.16,1027081,26.82,44.83,975.12,1872457,1.08,5.27,1.04,-424705,0,0,0,9
102987,decaf nutmeg and vanilla,28.15,54.33,976.55,1008122,27.08,45.75,974.9,1850881,1.06,8.58,1.65,-423546,0,0,0,9
107283,decaf nutmeg and vanilla,28.22,54.71,976.16,1002202,27.06,44.91,975.22,1857175,1.17,9.8,0.93,-429602,0,0,0,9
111589,decaf nutmeg and vanilla,28.66,63.96,976.46,948587,27.39,51.2,974.85,1843384,1.28,12.76,1.6,-449792,0,0,0,9
115836,decaf nutmeg and vanilla,27.8,52.82,976.06,1005153,27.17,46.26,975.23,1842141,0.62,6.56,0.83,-420856,0,0,0,9
120092,decaf nutmeg and vanilla,27.13,47.26,976.41,1031738,26.76,43.32,974.88,1873742,0.37,3.95,1.53,-423184,0,0,0,9
124339,decaf nutmeg and vanilla,26.8,44.68,976.5,1045965,26.44,42.11,975.34,1890607,0.36,2.58,1.15,-424544,0,0,0,9
128647,decaf nutmeg and vanilla,26.48,44.3,976.38,1060590,26.21,41.65,974.82,1890607,0.27,2.64,1.56,-417232,0,0,0,9
132893,decaf nutmeg and vanilla,26.3,43.29,976.37,1070570,26.1,41.52,975.34,1902462,0.2,1.77,1.03,-418102,0,0,0,9
137150,decaf nutmeg and vanilla,26.31,43.09,976.38,1076478,25.92,41.67,975.22,1914466,0.38,1.42,1.16,-421103,0,0,0,9
141396,decaf nutmeg and vanilla,26.61,45.16,976.36,1073938,26.13,42.45,975.02,1897175,0.47,2.71,1.33,-413625,0,0,0,9
145654,decaf nutmeg and vanilla,26.82,46.42,976.4,1066389,26.38,44.23,974.8,1897175,0.44,2.18,1.6,-417386,0,0,0,9
149901,decaf nutmeg and vanilla,27.56,62.08,976.58,949247,26.78,56.5,975.13,1885386,0.78,5.59,1.45,-470655,0,0,0,9
154207,decaf nutmeg and vanilla,27.42,73.86,976.54,888118,27.06,69.73,975.42,1860972,0.36,4.13,1.12,-489423,0,0,0,8
158503,decaf nutmeg and vanilla,27.81,72.71,976.51,886964,27.24,66.67,975.32,1853394,0.57,6.04,1.19,-486335,0,0,0,8
162761,decaf nutmeg and vanilla,27.93,71.1,976.07,891016,27.24,61.53,974.92,1844630,0.69,9.57,1.15,-953614,0,0,0,8
167058,decaf nutmeg and vanilla,27.53,57.68,976.55,938158,27.14,51.53,975.17,1852136,0.39,6.15,1.38,-913978,0,0,0,9
171314,decaf nutmeg and vanilla,29.53,70,976.52,827809,28.16,61.95,975.24,1793738,1.37,8.05,1.28,-486209,0,0,0,8
175561,decaf nutmeg and vanilla,28.47,75.25,976.17,834896,28.01,70.83,975.21,1816408,0.45,4.42,0.96,-494354,0,0,0,8
179867,decaf nutmeg and vanilla,28.24,61.01,976.53,877276,27.79,56.32,975.01,1813995,0.45,4.69,1.52,-471696,0,0,0,9
184113,decaf nutmeg and vanilla,28.83,53.33,976.23,885239,27.83,48.86,975.31,1805598,0.99,4.47,0.92,-463346,0,0,0,9
188371,decaf nutmeg and vanilla,29.48,56.06,976.19,852091,28.3,49.58,975.06,1775081,1.18,6.48,1.12,-464646,0,0,0,9
192618,decaf nutmeg and vanilla,29.21,69.79,976.18,833367,28.43,57.83,975.25,1779709,0.79,11.96,0.93,-476509,0,0,0,8
196924,decaf nutmeg and vanilla,28.71,68.01,976.69,849969,28.32,62.13,975.08,1779709,0.39,5.88,1.61,-468241,0,0,0,8
201170,decaf nutmeg and vanilla,28.68,62.21,976.28,868348,28.04,55.67,975.42,1786696,0.64,6.54,0.86,-462349,0,0,0,9
205478,decaf nutmeg and vanilla,28.68,56.66,976.13,889854,27.99,49.07,974.99,1791384,0.69,7.59,1.14,-453926,0,0,0,9
209725,decaf nutmeg and vanilla,28.75,55.69,976.2,896280,28.06,47.45,975.15,1785528,0.69,8.23,1.05,-447712,0,0,0,9
213981,decaf nutmeg and vanilla,28.7,49.61,976.13,912453,27.99,43.99,975,1793738,0.71,5.62,1.13,-443580,0,0,0,9
218278,decaf nutmeg and vanilla,28.63,57.02,976.69,901607,28.05,50.5,975.22,1786696,0.58,6.52,1.47,-445504,0,0,0,9
222534,decaf nutmeg and vanilla,28.36,62.88,976.63,893348,27.95,56.33,975.24,1796097,0.4,6.55,1.39,-454320,0,0,0,9
226830,decaf nutmeg and vanilla,28.5,71.16,976.18,834896,27.92,66.19,975.24,1802024,0.58,4.96,0.94,-486919,0,0,0,8
231138,decaf nutmeg and vanilla,27.99,68.19,976.61,852623,27.63,63.41,975.01,1809187,0.36,4.78,1.6,-481756,0,0,0,8
235385,decaf nutmeg and vanilla,28.64,60.58,976.27,869454,27.76,53.01,975.22,1800835,0.89,7.57,1.05,-469033,0,0,0,9
239641,decaf nutmeg and vanilla,28.91,59.34,976.18,868901,28.04,53.33,975.06,1785528,0.87,6.01,1.12,-461529,0,0,0,9
243938,decaf nutmeg and vanilla,28.05,52.14,976.62,911843,27.72,48.66,975.17,1800835,0.33,3.48,1.44,-447603,0,0,0,9
248246,decaf nutmeg and vanilla,27.59,47.11,976.02,934946,27.28,44.76,974.87,1821254,0.31,2.35,1.16,-886308,0,0,0,9
252492,decaf nutmeg and vanilla,27.53,44.68,976.46,943344,27.12,42.91,975.25,1826126,0.41,1.77,1.21,-444268,0,0,0,9
256749,decaf nutmeg and vanilla,28.06,52.61,976.58,918592,27.38,47.06,975,1821254,0.68,5.55,1.57,-454132,0,0,0,9
260995,decaf nutmeg and vanilla,28.72,59.21,976.17,898640,27.68,48.27,975.17,1815200,1.04,10.94,1,-461226,0,0,0,9
265303,decaf nutmeg and vanilla,28.25,50.46,976.11,940744,27.62,44.31,974.96,1820040,0.63,6.14,1.16,-442448,0,0,0,9

282385,earl grey,26.83,48.15,976.48,989133,26.52,45.32,975.13,1887993,0.3,2.82,1.35,-452032,0,0,0,9
286643,earl grey,27.1,54.76,976.47,960600,26.58,48.9,974.96,1868613,0.52,5.86,1.51,-456689,0,0,0,9
290889,earl grey,28.07,69.31,976.53,852091,27.4,66.81,975.15,1829797,0.67,2.5,1.39,-492026,0,0,0,8
295195,earl grey,28.73,77.79,976.16,797353,27.5,71.74,974.98,1838420,1.23,6.05,1.18,-524097,0,0,0,7
299442,earl grey,29.24,83.34,976.31,728307,27.82,77.95,975.23,1815200,1.42,5.38,1.08,-547443,0,0,0,7
303698,earl grey,29.19,85.99,976.23,703538,28.32,82.84,975.19,1783196,0.88,3.15,1.04,-544252,0,0,0,6
307995,earl grey,30.28,88.38,976.32,657464,28.99,87.24,975.38,1748932,1.29,1.14,0.94,-550440,0,0,0,6
312253,earl grey,30.81,89.19,976.91,624390,29.3,86.4,975.46,1734491,1.51,2.79,1.46,-560011,0,0,0,5
316549,earl grey,30.44,89.94,976.45,609887,29.26,86.8,975.47,1717040,1.18,3.13,0.99,-558861,0,0,0,5
320856,earl grey,29.54,88.19,976.49,615940,29.02,82.21,975.34,1725722,0.51,5.98,1.15,-560162,0,0,0,5
325102,earl grey,29.01,83.29,976.5,636025,28.65,75.57,975.66,1730095,0.36,7.71,0.83,-552333,0,0,0,6
329410,earl grey,28,67.67,976.64,690725,27.85,58.56,975.04,1765898,0.15,9.11,1.6,-542591,0,0,0,7
333657,earl grey,27.41,59.84,976.56,724443,27.15,50.92,975.12,1797280,0.26,8.92,1.44,-541151,0,0,0,7
337963,earl grey,26.86,55.97,976.54,748264,26.76,47.5,975,1809187,0.11,8.47,1.54,-535111,0,0,0,8
342260,earl grey,27.34,52.12,976.56,761338,26.75,45.65,975.21,1818828,0.6,6.47,1.34,-533220,0,0,0,8
346518,earl grey,27.93,52.18,976.63,764322,27.07,45.15,974.99,1802024,0.87,7.03,1.64,-1037702,0,0,0,8
350765,earl grey,27.37,48.1,976.52,783624,26.92,43.71,975.2,1826126,0.45,4.4,1.32,-1042502,0,0,0,8
355021,earl grey,26.39,46.08,976.55,822325,26.32,43,975.02,1854652,0.07,3.08,1.53,-520456,0,0,0,9
359318,earl grey,25.84,46.32,976.53,836430,25.8,43.39,975.48,1884085,0.04,2.93,1.05,-528102,0,0,0,9
363574,earl grey,26.32,50.89,976.53,830832,25.87,46.26,974.96,1890607,0.45,4.64,1.58,-533968,0,0,0,9
